dataset,n,error,trie+suffixes bytes,trie bytes,nodes,ns/lookup
GeoNames_truncated20.txt,7240280,8200,6850,1959,589,231
GeoNames_truncated20.txt,7240280,8300,6804,1955,593,260
GeoNames_truncated20.txt,7240280,8400,6590,1935,580,236
GeoNames_truncated20.txt,7240280,8500,6695,1926,579,238
GeoNames_truncated20.txt,7240280,8600,6609,1911,572,256
GeoNames_truncated20.txt,7240280,8700,6501,1902,572,243
GeoNames_truncated20.txt,7240280,8800,6249,1886,564,235
GeoNames_truncated20.txt,7240280,8900,6349,1865,550,251
GeoNames_truncated20.txt,7240280,9000,6409,1859,553,230
GeoNames_truncated20.txt,7240280,9100,6355,1852,553,228
GeoNames_truncated20.txt,7240280,9200,6137,1808,533,263
GeoNames_truncated20.txt,7240280,9300,6065,1794,528,224
GeoNames_truncated20.txt,7240280,9400,6160,1775,517,218
GeoNames_truncated20.txt,7240280,9500,5997,1773,519,253
GeoNames_truncated20.txt,7240280,9600,6047,1756,510,218
GeoNames_truncated20.txt,7240280,9700,6053,1748,510,224
GeoNames_truncated20.txt,7240280,9800,5874,1743,507,324
GeoNames_truncated20.txt,7240280,9900,5862,1712,488,220
GeoNames_truncated20.txt,7240280,10000,5872,1724,501,222
uk-2002_truncated20.txt,988299,0,5972659,4995877,1920895,1769
uk-2002_truncated20.txt,988299,2,2091547,1506226,683294,1582
uk-2002_truncated20.txt,988299,4,1301836,801990,389636,1367
uk-2002_truncated20.txt,988299,6,992987,531595,256948,1243
uk-2002_truncated20.txt,988299,8,813957,388533,184641,1126
uk-2002_truncated20.txt,988299,10,692168,305133,143099,1058
uk-2002_truncated20.txt,988299,20,405937,141599,62461,783
uk-2002_truncated20.txt,988299,30,287898,88430,38135,671
uk-2002_truncated20.txt,988299,40,225306,64830,27060,600
uk-2002_truncated20.txt,988299,50,183956,48898,20293,598
uk-2002_truncated20.txt,988299,60,155452,39205,16460,564
uk-2002_truncated20.txt,988299,70,135046,33298,13825,540
uk-2002_truncated20.txt,988299,80,119652,28758,11761,506
uk-2002_truncated20.txt,988299,90,107246,25445,10328,484
uk-2002_truncated20.txt,988299,100,97855,22784,9171,468
uk-2002_truncated20.txt,988299,110,89375,20476,8123,448
uk-2002_truncated20.txt,988299,120,81922,18166,7340,441
uk-2002_truncated20.txt,988299,130,76163,16767,6754,420
uk-2002_truncated20.txt,988299,140,71142,15416,6123,409
uk-2002_truncated20.txt,988299,150,66649,14373,5675,393
uk-2002_truncated20.txt,988299,160,62638,13460,5286,386
uk-2002_truncated20.txt,988299,170,59255,12534,4856,387
uk-2002_truncated20.txt,988299,180,56182,11871,4588,370
uk-2002_truncated20.txt,988299,190,53228,11130,4248,354
uk-2002_truncated20.txt,988299,200,51134,10607,4040,350
uk-2002_truncated20.txt,988299,210,48569,10064,3801,351
uk-2002_truncated20.txt,988299,220,46510,9683,3668,341
uk-2002_truncated20.txt,988299,230,44835,9136,3398,328
uk-2002_truncated20.txt,988299,240,42960,8802,3275,325
uk-2002_truncated20.txt,988299,250,40783,8298,3198,351
uk-2002_truncated20.txt,988299,260,39706,7828,2950,317
uk-2002_truncated20.txt,988299,270,38144,7541,2829,313
uk-2002_truncated20.txt,988299,280,36946,7245,2695,305
uk-2002_truncated20.txt,988299,290,35666,7040,2621,333
uk-2002_truncated20.txt,988299,300,34684,6785,2509,297
uk-2002_truncated20.txt,988299,310,33540,6591,2432,296
uk-2002_truncated20.txt,988299,320,32554,6390,2343,294
uk-2002_truncated20.txt,988299,330,31559,6197,2269,327
uk-2002_truncated20.txt,988299,340,30717,5931,2128,277
uk-2002_truncated20.txt,988299,350,29972,5809,2086,279
uk-2002_truncated20.txt,988299,360,29109,5675,2042,280
uk-2002_truncated20.txt,988299,370,28409,5445,1917,301
uk-2002_truncated20.txt,988299,380,27552,5359,1900,270
uk-2002_truncated20.txt,988299,390,27045,5167,1804,270
uk-2002_truncated20.txt,988299,400,26455,5090,1786,274
uk-2002_truncated20.txt,988299,410,25806,4954,1722,276
uk-2002_truncated20.txt,988299,420,25125,4844,1688,257
uk-2002_truncated20.txt,988299,430,24663,4718,1627,253
uk-2002_truncated20.txt,988299,440,24043,4573,1557,245
uk-2002_truncated20.txt,988299,450,23588,4536,1560,280
uk-2002_truncated20.txt,988299,460,23186,4430,1506,253
uk-2002_truncated20.txt,988299,470,22620,4358,1490,259
uk-2002_truncated20.txt,988299,480,22165,4279,1455,253
uk-2002_truncated20.txt,988299,490,21773,4170,1402,265
uk-2002_truncated20.txt,988299,500,21263,4083,1370,238
uk-2002_truncated20.txt,988299,510,20930,4019,1343,239
uk-2002_truncated20.txt,988299,520,20610,3961,1321,240
uk-2002_truncated20.txt,988299,530,20128,3777,1301,273
uk-2002_truncated20.txt,988299,540,19799,3701,1257,241
uk-2002_truncated20.txt,988299,550,19291,3600,1204,235
uk-2002_truncated20.txt,988299,560,19059,3562,1194,233
uk-2002_truncated20.txt,988299,570,18691,3493,1168,260
uk-2002_truncated20.txt,988299,580,18424,3439,1142,226
uk-2002_truncated20.txt,988299,590,18161,3371,1114,221
uk-2002_truncated20.txt,988299,600,17906,3333,1100,225
uk-2002_truncated20.txt,988299,610,17694,3290,1081,248
uk-2002_truncated20.txt,988299,620,17330,3214,1049,219
uk-2002_truncated20.txt,988299,630,17091,3168,1027,222
uk-2002_truncated20.txt,988299,640,16797,3162,1038,220
uk-2002_truncated20.txt,988299,650,16588,3107,1011,240
uk-2002_truncated20.txt,988299,660,16290,3099,1018,223
uk-2002_truncated20.txt,988299,670,16167,3002,961,208
uk-2002_truncated20.txt,988299,680,15781,2991,966,221
uk-2002_truncated20.txt,988299,690,15753,2917,928,241
uk-2002_truncated20.txt,988299,700,15507,2925,940,214
uk-2002_truncated20.txt,988299,710,15238,2869,916,212
uk-2002_truncated20.txt,988299,720,15021,2862,925,219
uk-2002_truncated20.txt,988299,730,14795,2811,890,244
uk-2002_truncated20.txt,988299,740,14643,2781,876,208
